"Preis";"Kerne";"Takt_Prozessor";"Arbeitsspeicher";"Bild_Display";"Speicher_Grafik";"extern_Schnittstellen";"HDD";"SSD";"Akku_Kapazitaet";"PPI_Display";"Pixelshader";"Typ_Arbeitsspeicher_DDR_4";"Laufwerk_VORHANDEN";"Lautsprecher_UEBERDURCHSCHN";"Tastatur_Beleuchtung_vorhanden";"Fingerabdrucksensor_vorhanden";"Touchscreen_vorhanden";"Mobilfunk_vorhanden";"NFC_vorhanden";"Akku_Typ_ION";"Marke_HP";"Marke_ASUS";"Marke_Acer";"Marke_Apple";"Marke_Dell";"Marke_Lenovo";"Betriebssystem_Windows";"Betriebssystem_Mac";"Betriebssystem_DOS";"Betriebssystem_LINUX";"Betriebssystem_OHNE";"Mikrofon_Sound_vorhanden"
299;2;2600;8;15,6;0;6;0;256;41;141;192;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
899;6;2200;8;15,6;6144;9;1000;128;70;141;1280;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
199;2;2300;4;15,6;0;2300;0;128;41;100;128;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
1399;6;2200;16;15,6;4096;6;0;512;71;141;640;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
999;4;1800;16;13,3;4096;4;0;256;50;165;384;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1
849;4;1800;8;15,6;0;6;0;256;56;141;24;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1099;6;2200;16;15,6;6144;9;1000;256;70;141;1280;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1599;6;2600;16;15,6;6144;8;0;512;66;141;1920;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1999;6;2600;16;17,3;8192;9;0;512;70;127;2944;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0
589;4;1600;8;13,3;0;6;0;256;45;165;24;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1
1099;4;2300;8;15,6;4096;6;0;256;95,6;141;640;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
1049;4;1800;16;17,3;2048;8;1000;256;48;127;384;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
749;4;1800;8;13,3;0;6;1000;256;45;165;24;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1
1099;6;2200;16;15,6;4096;9;1000;256;70;141;768;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
969;4;1600;16;14;2048;6;0;512;48;157;384;1;0;0;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1049;4;2300;8;17,3;4096;5;1000;128;64;127;640;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
999;6;2200;8;17,3;4096;9;1000;128;86;127;768;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1499;6;2200;16;15,6;8192;8;1000;512;70;141;2048;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1999;6;2600;16;15,6;8192;9;0;512;69;141;2304;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
2499;6;2900;16;15,6;4096;6;0;1000;71;282;768;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
